species,latitude,longitude
Procyon cancrivorus,-20.69,-42.46
Sylvilagus brasiliensis,-20.69,-42.46
Cuniculus paca,-20.69,-42.46
Bos taurus,-15.06,-39.08
Mazama sp.,-15.06,-39.08
Pecari tajacu,-15.06,-39.08
Canis familiaris,-15.06,-39.08
Cerdocyon thous,-15.06,-39.08
Felis catus,-15.06,-39.08
Leopardus sp.,-15.06,-39.08
Eira barbara,-15.06,-39.08
Nasua nasua,-15.06,-39.08
Potos flavus,-15.06,-39.08
Procyon cancrivorus,-15.06,-39.08
Cabassous sp.,-15.06,-39.08
Dasypus novemcinctus,-15.06,-39.08
Euphractus sexcinctus,-15.06,-39.08
Didelphis albiventris,-15.06,-39.08
Didelphis aurita,-15.06,-39.08
Philander frenatus,-15.06,-39.08
Sylvilagus brasiliensis,-15.06,-39.08
Tamandua tetradactyla,-15.06,-39.08
Callithrix kuhlii,-15.06,-39.08
Leontopithecus chrysomelas,-15.06,-39.08
Sapajus xanthosternos,-15.06,-39.08
Cuniculus paca,-15.06,-39.08
Chaetomys subspinosus,-15.06,-39.08
Sphiggurus insidiosus,-15.06,-39.08
Pecari tajacu,-27.43,-48.84
Cerdocyon thous,-27.43,-48.84
Leopardus pardalis,-27.43,-48.84
Leopardus guttulus,-27.43,-48.84
Leopardus wiedii,-27.43,-48.84
Puma concolor,-27.43,-48.84
Eira barbara,-27.43,-48.84
Nasua nasua,-27.43,-48.84
Procyon cancrivorus,-27.43,-48.84
Dasypus novemcinctus,-27.43,-48.84
Didelphis albiventris,-27.43,-48.84
Didelphis aurita,-27.43,-48.84
Philander frenatus,-27.43,-48.84
Tapirus terrestris,-27.43,-48.84
Hydrochoerus hydrochaeris,-27.43,-48.84
Cuniculus paca,-27.43,-48.84
Dasyprocta azarae,-27.43,-48.84
Puma yagouaroundi,-19.9,-40.55
Euphractus sexcinctus,-19.9,-40.55
Philander frenatus,-19.9,-40.55
Hydrochoerus hydrochaeris,-19.9,-40.55
Mazama americana,-20,-43.49
Mazama gouazoubira,-20,-43.49
Pecari tajacu,-20,-43.49
Leopardus wiedii,-20,-43.49
Puma concolor,-20,-43.49
Monodelphis scalops,-20,-43.49
Tapirus terrestris,-20,-43.49
Cuniculus paca,-20,-43.49
Mazama gouazoubira,-27.9,-48.82
Pecari tajacu,-27.9,-48.82
Tayassu pecari,-27.9,-48.82
Cerdocyon thous,-27.9,-48.82
Leopardus pardalis,-27.9,-48.82
Leopardus guttulus,-27.9,-48.82
Leopardus wiedii,-27.9,-48.82
Puma concolor,-27.9,-48.82
Puma yagouaroundi,-27.9,-48.82
Eira barbara,-27.9,-48.82
Galictis cuja,-27.9,-48.82
Nasua nasua,-27.9,-48.82
Procyon cancrivorus,-27.9,-48.82
Sturnira lilium,-27.9,-48.82
Cabassous tatouay,-27.9,-48.82
Dasypus novemcinctus,-27.9,-48.82
Didelphis albiventris,-27.9,-48.82
Didelphis aurita,-27.9,-48.82
Marmosops incanus,-27.9,-48.82
Philander frenatus,-27.9,-48.82
Tapirus terrestris,-27.9,-48.82
Tamandua tetradactyla,-27.9,-48.82
Hydrochoerus hydrochaeris,-27.9,-48.82
Juliomys pictipes,-27.9,-48.82
Sooretamys angouya,-27.9,-48.82
Dasyprocta azarae,-27.9,-48.82
Myocastor coypus,-27.9,-48.82
Mazama sp.,-23.2,-46.5
Canis familiaris,-23.2,-46.5
Cerdocyon thous,-23.2,-46.5
Leopardus pardalis,-23.2,-46.5
Puma concolor,-23.2,-46.5
Procyon cancrivorus,-23.2,-46.5
Dasypus novemcinctus,-23.2,-46.5
Lepus europaeus,-23.2,-46.5
Sylvilagus brasiliensis,-23.2,-46.5
Leopardus pardalis,-24.13,-47.94
Leopardus sp.,-24.13,-47.94
Puma concolor,-24.13,-47.94
Eira barbara,-24.13,-47.94
Procyon cancrivorus,-24.13,-47.94
Cabassous tatouay,-24.13,-47.94
Didelphis aurita,-24.13,-47.94
Tapirus terrestris,-24.13,-47.94
Cuniculus paca,-24.13,-47.94
Pecari tajacu,-24.13,-47.94
Cerdocyon thous,-24.13,-47.94
Leopardus wiedii,-24.13,-47.94
Nasua nasua,-24.13,-47.94
Nectomys squamipes,-24.13,-47.94
Trinomys iheringi,-24.13,-47.94
Sciurus aestuans,-24.13,-47.94
Canis familiaris,-21.28,-44.96
Cerdocyon thous,-21.28,-44.96
Leopardus pardalis,-21.28,-44.96
Nasua nasua,-21.28,-44.96
Euphractus sexcinctus,-21.28,-44.96
Didelphis albiventris,-21.28,-44.96
Didelphis aurita,-21.28,-44.96
Pecari tajacu,-23.59,-45.43
Leopardus pardalis,-23.59,-45.43
Leopardus guttulus,-23.59,-45.43
Puma concolor,-23.59,-45.43
Dasypus novemcinctus,-23.59,-45.43
Didelphis aurita,-23.59,-45.43
Tapirus terrestris,-23.59,-45.43
Sapajus nigritus,-23.59,-45.43
Hydrochoerus hydrochaeris,-23.59,-45.43
Cuniculus paca,-23.59,-45.43
Dasypus sp.,-23.59,-45.43
Dasyprocta sp.,-23.59,-45.43
Sciurus aestuans,-23.59,-45.43
Mazama americana,-26.7,-49.66
Mazama gouazoubira,-26.7,-49.66
Mazama nana,-26.7,-49.66
Pecari tajacu,-26.7,-49.66
Tayassu pecari,-26.7,-49.66
Leopardus pardalis,-26.7,-49.66
Leopardus guttulus,-26.7,-49.66
Leopardus wiedii,-26.7,-49.66
Puma concolor,-26.7,-49.66
Puma yagouaroundi,-26.7,-49.66
Eira barbara,-26.7,-49.66
Galictis cuja,-26.7,-49.66
Nasua nasua,-26.7,-49.66
Procyon cancrivorus,-26.7,-49.66
Dasypus novemcinctus,-26.7,-49.66
Dasypus septemcinctus,-26.7,-49.66
Didelphis aurita,-26.7,-49.66
Philander frenatus,-26.7,-49.66
Hydrochoerus hydrochaeris,-26.7,-49.66
Sciurus aestuans,-26.7,-49.66
Mazama sp.,-23.96,-47.45
Canis familiaris,-23.96,-47.45
Cerdocyon thous,-23.96,-47.45
Leopardus sp.,-23.96,-47.45
Eira barbara,-23.96,-47.45
Nasua nasua,-23.96,-47.45
Procyon cancrivorus,-23.96,-47.45
Dasypus novemcinctus,-23.96,-47.45
Didelphis aurita,-23.96,-47.45
Tamandua tetradactyla,-23.96,-47.45
Hydrochoerus hydrochaeris,-23.96,-47.45
Dasyprocta azarae,-23.96,-47.45
Nasua nasua,-23.53,-45.04
Dasypus novemcinctus,-23.53,-45.04
Didelphis aurita,-23.53,-45.04
Callithrix penicillata,-23.53,-45.04
Hydrochoerus hydrochaeris,-23.53,-45.04
Cuniculus paca,-23.53,-45.04
Dasypus sp.,-23.53,-45.04
Dasyprocta sp.,-23.53,-45.04
Pecari tajacu,-13.83,-39.16
Cerdocyon thous,-13.83,-39.16
Nasua nasua,-13.83,-39.16
Dasypus novemcinctus,-13.83,-39.16
Didelphis aurita,-13.83,-39.16
Marmosa murina,-13.83,-39.16
Metachirus nudicaudatus,-13.83,-39.16
Philander opossum,-13.83,-39.16
Cuniculus paca,-13.83,-39.16
Dasypus sp.,-13.83,-39.16
Dasyprocta sp.,-13.83,-39.16
Sciurus aestuans,-13.83,-39.16
Mazama americana,-15.23,-39.11
Cerdocyon thous,-15.23,-39.11
Leopardus wiedii,-15.23,-39.11
Cerdocyon thous,-15.38,-39.09
Leopardus wiedii,-15.38,-39.09
Nasua nasua,-14.55,-39.16
Callicebus melanochir,-15.06,-39.08
Dasypus sp.,-15.06,-39.08
Dasyprocta sp.,-15.06,-39.08
Bos taurus,-15.23,-39.36
Mazama sp.,-15.23,-39.36
Pecari tajacu,-15.23,-39.36
Canis familiaris,-15.23,-39.36
Cerdocyon thous,-15.23,-39.36
Felis catus,-15.23,-39.36
Eira barbara,-15.23,-39.36
Nasua nasua,-15.23,-39.36
Potos flavus,-15.23,-39.36
Procyon cancrivorus,-15.23,-39.36
Cabassous sp.,-15.23,-39.36
Dasypus novemcinctus,-15.23,-39.36
Euphractus sexcinctus,-15.23,-39.36
Didelphis aurita,-15.23,-39.36
Sylvilagus brasiliensis,-15.23,-39.36
Bradypus torquatus,-15.23,-39.36
Tamandua tetradactyla,-15.23,-39.36
Callithrix kuhlii,-15.23,-39.36
Leontopithecus chrysomelas,-15.23,-39.36
Sapajus xanthosternos,-15.23,-39.36
Cuniculus paca,-15.23,-39.36
Chaetomys subspinosus,-15.23,-39.36
Sphiggurus insidiosus,-15.23,-39.36
Canis familiaris,-21.72,-43.27
Cerdocyon thous,-21.72,-43.27
Chrysocyon brachyurus,-21.72,-43.27
Leopardus pardalis,-21.72,-43.27
Dasypus novemcinctus,-21.72,-43.27
Didelphis aurita,-21.72,-43.27
Marmosops sp.,-21.72,-43.27
Philander frenatus,-21.72,-43.27
Sylvilagus brasiliensis,-21.72,-43.27
Callithrix penicillata,-21.72,-43.27
Cuniculus paca,-21.72,-43.27
Canis familiaris,-21.76,-43.31
Chrysocyon brachyurus,-21.76,-43.31
Leopardus pardalis,-21.76,-43.31
Dasypus novemcinctus,-21.76,-43.31
Didelphis aurita,-21.76,-43.31
Marmosops sp.,-21.76,-43.31
Philander frenatus,-21.76,-43.31
Sapajus nigritus,-21.76,-43.31
Hydrochoerus hydrochaeris,-21.76,-43.31
Cuniculus paca,-21.76,-43.31
Sciurus aestuans,-21.76,-43.31
Canis familiaris,-22.83,-44
Leopardus wiedii,-22.83,-44
Dasypus novemcinctus,-22.83,-44
Didelphis aurita,-22.83,-44
Alouatta guariba,-22.83,-44
Sapajus nigritus,-22.83,-44
Hydrochoerus hydrochaeris,-22.83,-44
Nectomys squamipes,-22.83,-44
Cuniculus paca,-22.83,-44
Dasyprocta leporina,-22.83,-44
Trinomys dimidiatus,-22.83,-44
Sphiggurus insidiosus,-22.83,-44
Pecari tajacu,-19.9,-40.56
Canis familiaris,-19.9,-40.56
Leopardus pardalis,-19.9,-40.56
Puma concolor,-19.9,-40.56
Eira barbara,-19.9,-40.56
Nasua nasua,-19.9,-40.56
Procyon cancrivorus,-19.9,-40.56
Hydrochoerus hydrochaeris,-19.9,-40.56
Cuniculus paca,-19.9,-40.56
Canis familiaris,-21.74,-43.28
Leopardus pardalis,-21.74,-43.28
Puma concolor,-21.74,-43.28
Eira barbara,-21.74,-43.28
Lontra longicaudis,-21.74,-43.28
Nasua nasua,-21.74,-43.28
Procyon cancrivorus,-21.74,-43.28
Dasypus novemcinctus,-21.74,-43.28
Didelphis aurita,-21.74,-43.28
Gracilinanus agilis,-21.74,-43.28
Marmosops sp.,-21.74,-43.28
Philander frenatus,-21.74,-43.28
Tamandua tetradactyla,-21.74,-43.28
Cavia sp.,-21.74,-43.28
Cuniculus paca,-21.74,-43.28
Sciurus aestuans,-21.74,-43.28
Mazama americana,-25.05,-48.08
Tayassu pecari,-25.05,-48.08
Canis familiaris,-25.05,-48.08
Cerdocyon thous,-25.05,-48.08
Leopardus pardalis,-25.05,-48.08
Leopardus guttulus,-25.05,-48.08
Puma concolor,-25.05,-48.08
Puma yagouaroundi,-25.05,-48.08
Eira barbara,-25.05,-48.08
Didelphis aurita,-25.05,-48.08
Tamandua tetradactyla,-25.05,-48.08
Dasyprocta leporina,-25.05,-48.08
Mazama sp.,-27,-53.66
Pecari tajacu,-27,-53.66
Cerdocyon thous,-27,-53.66
Leopardus pardalis,-27,-53.66
Leopardus wiedii,-27,-53.66
Panthera onca,-27,-53.66
Puma yagouaroundi,-27,-53.66
Eira barbara,-27,-53.66
Nasua nasua,-27,-53.66
Procyon cancrivorus,-27,-53.66
Dasypus novemcinctus,-27,-53.66
Didelphis albiventris,-27,-53.66
Didelphis aurita,-27,-53.66
Lepus europaeus,-27,-53.66
Sylvilagus brasiliensis,-27,-53.66
Tapirus terrestris,-27,-53.66
Tamandua tetradactyla,-27,-53.66
Sapajus nigritus,-27,-53.66
Hydrochoerus hydrochaeris,-27,-53.66
Dasyprocta azarae,-27,-53.66
Mazama americana,-27,-53.66
Mazama nana,-27,-53.66
Leopardus guttulus,-27,-53.66
Puma concolor,-27,-53.66
Euphractus sexcinctus,-27,-53.66
Sus scrofa,-26.75,-49.02
Canis familiaris,-26.75,-49.02
Cerdocyon thous,-26.75,-49.02
Leopardus guttulus,-26.75,-49.02
Leopardus wiedii,-26.75,-49.02
Eira barbara,-26.75,-49.02
Procyon cancrivorus,-26.75,-49.02
Cabassous tatouay,-26.75,-49.02
Dasypus novemcinctus,-26.75,-49.02
Didelphis aurita,-26.75,-49.02
Tamandua tetradactyla,-26.75,-49.02
Cuniculus paca,-26.75,-49.02
Dasyprocta azarae,-26.75,-49.02
Canis familiaris,-20.23,-40.46
Eira barbara,-20.23,-40.46
Nasua nasua,-20.23,-40.46
Procyon cancrivorus,-20.23,-40.46
Cuniculus paca,-20.23,-40.46
Dasyprocta azarae,-20.23,-40.46
Mazama gouazoubira,-16.3,-39.1
Pecari tajacu,-16.3,-39.1
Canis familiaris,-16.3,-39.1
Leopardus wiedii,-16.3,-39.1
Puma concolor,-16.3,-39.1
Nasua nasua,-16.3,-39.1
Cabassous unicinctus,-16.3,-39.1
Dasypus novemcinctus,-16.3,-39.1
Didelphis aurita,-16.3,-39.1
Metachirus nudicaudatus,-16.3,-39.1
Tapirus terrestris,-16.3,-39.1
Tamandua tetradactyla,-16.3,-39.1
Cuniculus paca,-16.3,-39.1
Dasyprocta leporina,-16.3,-39.1
Sciurus aestuans,-16.3,-39.1
Canis familiaris,-22.43,-43.25
Eira barbara,-22.43,-43.25
Nasua nasua,-22.43,-43.25
Dasypus sp.,-22.43,-43.25
Dasyprocta sp.,-22.43,-43.25
Didelphis aurita,-22.43,-43.25
Philander frenatus,-22.43,-43.25
Cuniculus paca,-22.43,-43.25
Mazama gouazoubira,-23.2,-46.5
Eira barbara,-23.2,-46.5
Nasua nasua,-23.2,-46.5
Didelphis aurita,-23.2,-46.5
Cuniculus paca,-23.2,-46.5
Pecari tajacu,-23.32,-45.08
Tayassu pecari,-23.32,-45.08
Cerdocyon thous,-23.32,-45.08
Leopardus pardalis,-23.32,-45.08
Leopardus guttulus,-23.32,-45.08
Leopardus wiedii,-23.32,-45.08
Puma concolor,-23.32,-45.08
Puma yagouaroundi,-23.32,-45.08
Eira barbara,-23.32,-45.08
Procyon cancrivorus,-23.32,-45.08
Dasypus novemcinctus,-23.32,-45.08
Didelphis aurita,-23.32,-45.08
Tapirus terrestris,-23.32,-45.08
Tamandua tetradactyla,-23.32,-45.08
Cuniculus paca,-23.32,-45.08
Dasypus sp.,-23.32,-45.08
Dasyprocta sp.,-23.32,-45.08
Mazama sp.,-19.1,-39.75
Tayassu pecari,-19.1,-39.75
Canis familiaris,-19.1,-39.75
Cerdocyon thous,-19.1,-39.75
Leopardus pardalis,-19.1,-39.75
Panthera onca,-19.1,-39.75
Puma yagouaroundi,-19.1,-39.75
Nasua nasua,-19.1,-39.75
Procyon cancrivorus,-19.1,-39.75
Dasypus sp.,-19.1,-39.75
Dasyprocta sp.,-19.1,-39.75
Euphractus sexcinctus,-19.1,-39.75
Didelphis aurita,-19.1,-39.75
Sylvilagus brasiliensis,-19.1,-39.75
Tapirus terrestris,-19.1,-39.75
Hydrochoerus hydrochaeris,-19.1,-39.75
Cuniculus paca,-19.1,-39.75
Dasyprocta leporina,-19.1,-39.75
Pecari tajacu,-19.1,-39.75
Leopardus wiedii,-19.1,-39.75
Eira barbara,-19.1,-39.75
Cabassous tatouay,-19.1,-39.75
Metachirus nudicaudatus,-19.1,-39.75
Tamandua tetradactyla,-19.1,-39.75
Sapajus nigritus,-19.1,-39.75
Sciurus aestuans,-19.1,-39.75
Puma concolor,-19.1,-39.75
Galictis cuja,-19.1,-39.75
Callithrix geoffroyi,-19.1,-39.75
Mazama gouazoubira,-22.83,-48.43
Cerdocyon thous,-22.83,-48.43
Leopardus pardalis,-22.83,-48.43
Puma concolor,-22.83,-48.43
Puma yagouaroundi,-22.83,-48.43
Nasua nasua,-22.83,-48.43
Procyon cancrivorus,-22.83,-48.43
Dasypus novemcinctus,-22.83,-48.43
Sylvilagus brasiliensis,-22.83,-48.43
Myrmecophaga tridactyla,-22.83,-48.43
Cuniculus paca,-22.83,-48.43
Dasyprocta azarae,-22.83,-48.43
Cerdocyon thous,-27.08,-48.88
Leopardus guttulus,-27.08,-48.88
Leopardus wiedii,-27.08,-48.88
Puma yagouaroundi,-27.08,-48.88
Eira barbara,-27.08,-48.88
Galictis cuja,-27.08,-48.88
Lontra longicaudis,-27.08,-48.88
Nasua nasua,-27.08,-48.88
Procyon cancrivorus,-27.08,-48.88
Cabassous tatouay,-27.08,-48.88
Dasypus novemcinctus,-27.08,-48.88
Didelphis aurita,-27.08,-48.88
Philander frenatus,-27.08,-48.88
Tamandua tetradactyla,-27.08,-48.88
Hydrochoerus hydrochaeris,-27.08,-48.88
Dasyprocta azarae,-27.08,-48.88
Bos taurus,-24.06,-48.34
Mazama sp.,-24.06,-48.34
Sus scrofa,-24.06,-48.34
Canis familiaris,-24.06,-48.34
Cerdocyon thous,-24.06,-48.34
Leopardus pardalis,-24.06,-48.34
Leopardus sp.,-24.06,-48.34
Puma concolor,-24.06,-48.34
Eira barbara,-24.06,-48.34
Galictis cuja,-24.06,-48.34
Nasua nasua,-24.06,-48.34
Procyon cancrivorus,-24.06,-48.34
Cabassous tatouay,-24.06,-48.34
Dasypus novemcinctus,-24.06,-48.34
Didelphis albiventris,-24.06,-48.34
Didelphis aurita,-24.06,-48.34
Hydrochoerus hydrochaeris,-24.06,-48.34
Mazama sp.,-24.75,-48.43
Pecari tajacu,-24.75,-48.43
Cerdocyon thous,-24.75,-48.43
Eira barbara,-24.75,-48.43
Nasua nasua,-24.75,-48.43
Procyon cancrivorus,-24.75,-48.43
Didelphis aurita,-24.75,-48.43
Tapirus terrestris,-24.75,-48.43
Cuniculus paca,-24.75,-48.43
Dasyprocta azarae,-24.75,-48.43
Bos taurus,-22.48,-52.46
Mazama americana,-22.48,-52.46
Pecari tajacu,-22.48,-52.46
Tayassu pecari,-22.48,-52.46
Leopardus pardalis,-22.48,-52.46
Puma concolor,-22.48,-52.46
Dasypus novemcinctus,-22.48,-52.46
Didelphis albiventris,-22.48,-52.46
Sylvilagus brasiliensis,-22.48,-52.46
Tapirus terrestris,-22.48,-52.46
Tamandua tetradactyla,-22.48,-52.46
Dasyprocta azarae,-22.48,-52.46
Mazama americana,-22.41,-52.51
Pecari tajacu,-22.41,-52.51
Leopardus pardalis,-22.41,-52.51
Puma concolor,-22.41,-52.51
Eira barbara,-22.41,-52.51
Dasypus novemcinctus,-22.41,-52.51
Didelphis albiventris,-22.41,-52.51
Sylvilagus brasiliensis,-22.41,-52.51
Tapirus terrestris,-22.41,-52.51
Tamandua tetradactyla,-22.41,-52.51
Dasyprocta azarae,-22.41,-52.51
Leopardus pardalis,-22.33,-52.39
Dasypus novemcinctus,-22.33,-52.39
Didelphis albiventris,-22.33,-52.39
Sylvilagus brasiliensis,-22.33,-52.39
Tapirus terrestris,-22.33,-52.39
Tamandua tetradactyla,-22.33,-52.39
Dasyprocta azarae,-22.33,-52.39
Leopardus pardalis,-22.25,-52.39
Nasua nasua,-22.25,-52.39
Dasypus novemcinctus,-22.25,-52.39
Didelphis albiventris,-22.25,-52.39
Sylvilagus brasiliensis,-22.25,-52.39
Tapirus terrestris,-22.25,-52.39
Didelphis albiventris,-22.23,-52.3
Sylvilagus brasiliensis,-22.23,-52.3
Tapirus terrestris,-22.23,-52.3
Myrmecophaga tridactyla,-22.23,-52.3
Bos taurus,-22.14,-52.26
Mazama americana,-22.14,-52.26
Tayassu pecari,-22.14,-52.26
Leopardus pardalis,-22.14,-52.26
Panthera onca,-22.14,-52.26
Puma concolor,-22.14,-52.26
Dasypus novemcinctus,-22.14,-52.26
Didelphis albiventris,-22.14,-52.26
Sylvilagus brasiliensis,-22.14,-52.26
Tapirus terrestris,-22.14,-52.26
Myrmecophaga tridactyla,-22.14,-52.26
Dasyprocta azarae,-22.14,-52.26
Mazama gouazoubira,-22.57,-46.78
Sus scrofa,-22.57,-46.78
Canis familiaris,-22.57,-46.78
Leopardus pardalis,-22.57,-46.78
Eira barbara,-22.57,-46.78
Nasua nasua,-22.57,-46.78
Dasypus novemcinctus,-22.57,-46.78
Didelphis aurita,-22.57,-46.78
Sylvilagus brasiliensis,-22.57,-46.78
Hydrochoerus hydrochaeris,-22.57,-46.78
Cuniculus paca,-22.57,-46.78
Mazama americana,-22.66,-48.15
Pecari tajacu,-22.66,-48.15
Tayassu pecari,-22.66,-48.15
Puma yagouaroundi,-22.66,-48.15
Nasua nasua,-22.66,-48.15
Dasypus novemcinctus,-22.66,-48.15
Didelphis albiventris,-22.66,-48.15
Cuniculus paca,-22.66,-48.15
Dasyprocta azarae,-22.66,-48.15
Sus scrofa,-22.26,-47.32
Canis familiaris,-22.26,-47.32
Leopardus pardalis,-22.26,-47.32
Nasua nasua,-22.26,-47.32
Dasypus novemcinctus,-22.26,-47.32
Didelphis aurita,-22.26,-47.32
Sylvilagus brasiliensis,-22.26,-47.32
Dasyprocta azarae,-22.26,-47.32
Cerdocyon thous,-22.61,-47.13
Leopardus guttulus,-22.61,-47.13
Procyon cancrivorus,-22.61,-47.13
Dasypus novemcinctus,-22.61,-47.13
Didelphis albiventris,-22.61,-47.13
Coendou prehensilis,-22.61,-47.13
Canis familiaris,-22.29,-49.62
Speothos venaticus,-22.29,-49.62
Nasua nasua,-22.29,-49.62
Procyon cancrivorus,-22.29,-49.62
Dasypus novemcinctus,-22.29,-49.62
Euphractus sexcinctus,-22.29,-49.62
Didelphis albiventris,-22.29,-49.62
Cuniculus paca,-22.29,-49.62
Dasyprocta azarae,-22.29,-49.62
Nasua nasua,-22.41,-52.51
Cabassous sp.,-22.41,-52.51
Myrmecophaga tridactyla,-22.41,-52.51
Mazama americana,-22.4,-49.69
Pecari tajacu,-22.4,-49.69
Tayassu pecari,-22.4,-49.69
Leopardus pardalis,-22.4,-49.69
Eira barbara,-22.4,-49.69
Dasypus novemcinctus,-22.4,-49.69
Tapirus terrestris,-22.4,-49.69
Cuniculus paca,-22.4,-49.69
Mazama gouazoubira,-22.56,-47.57
Sus scrofa,-22.56,-47.57
Leopardus guttulus,-22.56,-47.57
Puma concolor,-22.56,-47.57
Nasua nasua,-22.56,-47.57
Dasypus novemcinctus,-22.56,-47.57
Didelphis aurita,-22.56,-47.57
Hydrochoerus hydrochaeris,-22.56,-47.57
Mazama gouazoubira,-21.4,-49.5
Puma concolor,-21.4,-49.5
Nasua nasua,-21.4,-49.5
Dasypus novemcinctus,-21.4,-49.5
Didelphis albiventris,-21.4,-49.5
Tapirus terrestris,-21.4,-49.5
Tamandua tetradactyla,-21.4,-49.5
Dasyprocta azarae,-21.4,-49.5
Mazama gouazoubira,-22.07,-50.94
Sus scrofa,-22.07,-50.94
Pecari tajacu,-22.07,-50.94
Leopardus pardalis,-22.07,-50.94
Puma yagouaroundi,-22.07,-50.94
Eira barbara,-22.07,-50.94
Nasua nasua,-22.07,-50.94
Dasypus novemcinctus,-22.07,-50.94
Didelphis albiventris,-22.07,-50.94
Sylvilagus brasiliensis,-22.07,-50.94
Tapirus terrestris,-22.07,-50.94
Dasyprocta azarae,-22.07,-50.94
Sus scrofa,-21.61,-48.53
Leopardus guttulus,-21.61,-48.53
Nasua nasua,-21.61,-48.53
Dasypus novemcinctus,-21.61,-48.53
Didelphis aurita,-21.61,-48.53
Sylvilagus brasiliensis,-21.61,-48.53
Tamandua tetradactyla,-21.61,-48.53
Dasyprocta azarae,-21.61,-48.53
Mazama gouazoubira,-22.53,-52.24
Pecari tajacu,-22.53,-52.24
Leopardus pardalis,-22.53,-52.24
Puma yagouaroundi,-22.53,-52.24
Eira barbara,-22.53,-52.24
Nasua nasua,-22.53,-52.24
Dasypus novemcinctus,-22.53,-52.24
Didelphis albiventris,-22.53,-52.24
Sylvilagus brasiliensis,-22.53,-52.24
Tapirus terrestris,-22.53,-52.24
Dasyprocta azarae,-22.53,-52.24
Mazama americana,-21.52,-49.29
Leopardus guttulus,-21.52,-49.29
Nasua nasua,-21.52,-49.29
Dasypus novemcinctus,-21.52,-49.29
Didelphis albiventris,-21.52,-49.29
Sylvilagus brasiliensis,-21.52,-49.29
Tapirus terrestris,-21.52,-49.29
Myrmecophaga tridactyla,-21.52,-49.29
Tamandua tetradactyla,-21.52,-49.29
Hydrochoerus hydrochaeris,-21.52,-49.29
Cuniculus paca,-21.52,-49.29
Dasyprocta azarae,-21.52,-49.29
Mazama gouazoubira,-22.62,-47.61
Leopardus pardalis,-22.62,-47.61
Procyon cancrivorus,-22.62,-47.61
Dasypus novemcinctus,-22.62,-47.61
Didelphis albiventris,-22.62,-47.61
Tamandua tetradactyla,-22.62,-47.61
Mazama gouazoubira,-23.16,-48.07
Sus scrofa,-23.16,-48.07
Cerdocyon thous,-23.16,-48.07
Leopardus guttulus,-23.16,-48.07
Puma yagouaroundi,-23.16,-48.07
Nasua nasua,-23.16,-48.07
Dasypus novemcinctus,-23.16,-48.07
Didelphis aurita,-23.16,-48.07
Myrmecophaga tridactyla,-23.16,-48.07
Pecari tajacu,-21.85,-47.43
Leopardus guttulus,-21.85,-47.43
Puma concolor,-21.85,-47.43
Puma yagouaroundi,-21.85,-47.43
Dasypus novemcinctus,-21.85,-47.43
Didelphis albiventris,-21.85,-47.43
Sylvilagus brasiliensis,-21.85,-47.43
Tamandua tetradactyla,-21.85,-47.43
Hydrochoerus hydrochaeris,-21.85,-47.43
Dasyprocta azarae,-21.85,-47.43
Sus scrofa,-22.35,-47.47
Dasypus novemcinctus,-22.35,-47.47
Didelphis aurita,-22.35,-47.47
Sylvilagus brasiliensis,-22.35,-47.47
Canis familiaris,-21.59,-46.74
Chrysocyon brachyurus,-21.59,-46.74
Puma yagouaroundi,-21.59,-46.74
Eira barbara,-21.59,-46.74
